TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster
78.13,Debit,Milwaukee,Branch,Dewasa Muda,Student,145,1,900.61,2024-11-04 08:12:18,1
649.28,Debit,San Jose,ATM,Lansia,Retired,137,1,4875.86,2024-11-04 08:11:15,2
795.31,Debit,Mesa,ATM,Lansia,Doctor,90,2,7914.88,2024-11-04 08:11:17,2
335.63,Debit,Oklahoma City,Online,Lansia Muda,Retired,216,1,1019.39,2024-11-04 08:07:32,1
328.47,Debit,San Antonio,ATM,Lansia Muda,Retired,119,1,4323.66,2024-11-04 08:07:31,2
34.02,Debit,Philadelphia,Online,Dewasa,Doctor,19,1,14214.48,2024-11-04 08:11:45,0
241.42,Credit,Charlotte,Online,Lansia Muda,Doctor,116,1,13357.02,2024-11-04 08:09:03,0
55.32,Debit,Tucson,ATM,Dewasa Muda,Student,117,1,241.79,2024-11-04 08:08:03,1
304.31,Debit,Louisville,Branch,Dewasa Muda,Student,33,1,868.61,2024-11-04 08:09:53,1
435.27,Debit,Chicago,Branch,Lansia,Retired,90,1,4673.28,2024-11-04 08:11:12,2
164.49,Debit,Baltimore,Branch,Dewasa Muda,Student,75,1,1509.27,2024-11-04 08:10:33,1
510.24,Debit,Oklahoma City,Online,Dewasa Muda,Student,105,1,781.7,2024-11-04 08:11:35,1
626.9,Debit,Denver,Online,Dewasa Muda,Student,138,1,265.51,2024-11-04 08:07:24,1
22.01,Credit,Sacramento,Online,Dewasa,Engineer,175,1,1335.09,2024-11-04 08:06:31,1
425.34,Credit,Kansas City,Online,Lansia,Retired,121,1,3907.54,2024-11-04 08:07:07,1
424.56,Debit,Omaha,Online,Lansia Muda,Engineer,264,1,5183.85,2024-11-04 08:09:02,2
85.43,Debit,Virginia Beach,Branch,Lansia,Doctor,145,1,14904.9,2024-11-04 08:06:45,0
169.5,Debit,San Diego,Branch,Dewasa Muda,Student,142,1,918.88,2024-11-04 08:08:58,1
104.63,Debit,Omaha,ATM,Lansia Muda,Retired,90,1,4477.78,2024-11-04 08:10:42,2
316.95,Debit,Mesa,Branch,Dewasa Muda,Student,83,1,1324.03,2024-11-04 08:09:15,1
60.54,Credit,Columbus,Branch,Lansia Muda,Retired,52,1,3534.93,2024-11-04 08:09:57,1
292.56,Credit,Dallas,Branch,Lansia,Retired,61,1,4638.37,2024-11-04 08:07:49,2
386.52,Debit,Indianapolis,Branch,Dewasa,Engineer,28,1,5630.61,2024-11-04 08:07:09,2
112.07,Debit,Kansas City,Branch,Dewasa Muda,Student,51,1,930.3,2024-11-04 08:11:37,1
568.52,Debit,Indianapolis,ATM,Dewasa,Engineer,152,1,5499.91,2024-11-04 08:06:25,2
263.99,Debit,Dallas,Branch,Lansia,Retired,227,2,4175.02,2024-11-04 08:11:03,2
349.64,Debit,Las Vegas,Online,Dewasa,Engineer,226,1,6651.62,2024-11-04 08:08:09,2
601.4,Credit,Philadelphia,Branch,Lansia Muda,Engineer,104,1,8458.29,2024-11-04 08:08:01,2
5.77,Debit,Charlotte,Online,Lansia Muda,Doctor,124,1,13988.12,2024-11-04 08:11:32,0
201.33,Credit,Nashville,Branch,Dewasa,Engineer,186,1,2585.07,2024-11-04 08:11:41,1
298.42,Debit,Indianapolis,Branch,Lansia Muda,Retired,225,1,3014.75,2024-11-04 08:10:12,1
521.06,Debit,Albuquerque,Branch,Dewasa Muda,Student,128,1,1951.42,2024-11-04 08:12:10,1
117.28,Credit,Austin,Online,Lansia Muda,Engineer,16,1,3665.77,2024-11-04 08:07:11,1
189.12,Credit,Indianapolis,Branch,Dewasa,Engineer,103,1,977.01,2024-11-04 08:08:42,1
133.55,Debit,Atlanta,ATM,Dewasa,Engineer,220,1,3846.28,2024-11-04 08:10:18,1
143.21,Debit,Dallas,Online,Dewasa,Engineer,135,1,6374.82,2024-11-04 08:09:26,2
24.77,Debit,Boston,ATM,Lansia Muda,Retired,55,1,5866.01,2024-11-04 08:12:15,2
233.92,Credit,Jacksonville,Online,Dewasa Muda,Student,280,1,6537.62,2024-11-04 08:08:45,2
1212.51,Debit,Indianapolis,Branch,Dewasa Muda,Student,24,1,605.95,2024-11-04 08:06:51,1
232.12,Debit,Omaha,ATM,Dewasa,Engineer,51,1,6689.87,2024-11-04 08:09:17,2
162.63,Debit,Kansas City,Online,Dewasa Muda,Student,113,1,634.17,2024-11-04 08:08:22,1
91.53,Debit,Milwaukee,Branch,Dewasa,Doctor,69,1,14676.05,2024-11-04 08:11:36,0
120.29,Debit,Miami,Branch,Dewasa Muda,Student,77,1,1362.39,2024-11-04 08:06:50,1
174.25,Debit,Seattle,Online,Lansia Muda,Doctor,67,1,10528.34,2024-11-04 08:10:29,0
183.71,Debit,Denver,ATM,Dewasa,Engineer,102,1,552.52,2024-11-04 08:09:51,1
345.39,Credit,Phoenix,Online,Lansia Muda,Engineer,80,1,6451.96,2024-11-04 08:08:16,2
922.55,Debit,Detroit,ATM,Lansia Muda,Retired,87,1,4715.84,2024-11-04 08:11:07,2
259.91,Debit,Denver,Online,Dewasa,Doctor,170,1,7176.86,2024-11-04 08:09:38,2
154.71,Debit,San Diego,Online,Dewasa,Doctor,157,1,1523.72,2024-11-04 08:09:42,1
1340.19,Credit,Austin,Online,Lansia Muda,Engineer,30,1,8654.28,2024-11-04 08:06:53,2
24.56,Debit,Mesa,Branch,Lansia Muda,Doctor,69,1,9869.93,2024-11-04 08:12:05,0
568.07,Debit,Washington,ATM,Dewasa,Doctor,115,1,10556.81,2024-11-04 08:07:32,0
9.61,Credit,San Diego,Online,Lansia Muda,Doctor,179,1,12883.91,2024-11-04 08:09:10,0
392.96,Debit,Kansas City,Online,Dewasa Muda,Student,100,1,791.65,2024-11-04 08:08:38,1
716.93,Credit,Milwaukee,Online,Lansia Muda,Retired,34,1,4064.02,2024-11-04 08:08:12,2
223.85,Debit,Kansas City,ATM,Lansia Muda,Engineer,55,4,2929.91,2024-11-04 08:08:01,1
230.66,Debit,Houston,Branch,Dewasa Muda,Student,135,1,618.05,2024-11-04 08:10:44,1
442.12,Debit,Los Angeles,Online,Dewasa Muda,Student,260,1,1375.8,2024-11-04 08:08:21,1
644.17,Debit,San Antonio,ATM,Dewasa Muda,Engineer,72,1,1143.52,2024-11-04 08:08:04,1
508.68,Credit,Mesa,Branch,Lansia Muda,Engineer,127,1,7708.41,2024-11-04 08:09:32,2
858.63,Credit,San Francisco,Branch,Dewasa Muda,Student,185,1,1872.96,2024-11-04 08:10:47,1
25.36,Debit,Louisville,ATM,Lansia Muda,Engineer,78,1,201.04,2024-11-04 08:11:05,1
147.62,Debit,Charlotte,Branch,Lansia,Retired,133,1,2115.8,2024-11-04 08:07:22,1
115.02,Debit,San Antonio,Branch,Dewasa,Doctor,175,1,7643.66,2024-11-04 08:08:38,2
383.37,Debit,Fort Worth,Branch,Dewasa,Engineer,24,1,8901.93,2024-11-04 08:11:07,2
98.54,Credit,El Paso,Online,Dewasa Muda,Student,167,1,9383.43,2024-11-04 08:10:02,0
83.24,Credit,Fort Worth,Branch,Lansia Muda,Doctor,164,1,1181.31,2024-11-04 08:10:52,1
196.16,Debit,Virginia Beach,Branch,Dewasa Muda,Engineer,146,1,9418.86,2024-11-04 08:08:32,0
129.94,Debit,Las Vegas,ATM,Dewasa,Engineer,235,1,7954.92,2024-11-04 08:06:35,2
306.9,Debit,Colorado Springs,Online,Dewasa,Engineer,51,1,9418.08,2024-11-04 08:10:48,0
114.98,Debit,Seattle,Online,Lansia Muda,Retired,80,1,6144.68,2024-11-04 08:09:24,2
756.59,Debit,Sacramento,Branch,Dewasa Muda,Student,17,1,420.65,2024-11-04 08:11:40,1
503.76,Debit,Los Angeles,Online,Dewasa Muda,Student,35,1,447.82,2024-11-04 08:09:22,1
143.03,Debit,San Antonio,ATM,Lansia Muda,Retired,147,1,7981.45,2024-11-04 08:10:42,2
1045.22,Debit,Columbus,ATM,Lansia Muda,Retired,73,1,1829.9,2024-11-04 08:07:35,1
245.54,Debit,New York,ATM,Dewasa Muda,Student,180,1,985.06,2024-11-04 08:10:26,1
254.37,Credit,Dallas,Online,Lansia Muda,Engineer,174,1,8849.26,2024-11-04 08:06:56,2
213.76,Credit,Dallas,ATM,Lansia,Retired,282,1,3528.72,2024-11-04 08:09:36,1
327.86,Debit,Fresno,Online,Dewasa,Engineer,104,1,480.16,2024-11-04 08:06:30,1
2.5,Debit,San Diego,Online,Dewasa,Doctor,107,1,12145.27,2024-11-04 08:09:53,0
300.08,Credit,Austin,Online,Lansia,Doctor,47,1,13546.75,2024-11-04 08:12:18,0
56.98,Credit,Oklahoma City,ATM,Dewasa,Engineer,122,2,5688.37,2024-11-04 08:07:42,2
407.65,Debit,Boston,Online,Dewasa Muda,Engineer,62,1,8346.64,2024-11-04 08:06:30,2
115.83,Debit,Fresno,Branch,Dewasa,Engineer,167,1,6481.04,2024-11-04 08:10:02,2
53.57,Debit,Houston,ATM,Lansia,Retired,121,1,1651.33,2024-11-04 08:08:43,1
63.34,Credit,Detroit,Online,Dewasa,Doctor,165,1,11174.94,2024-11-04 08:10:13,0
317.87,Debit,Detroit,Online,Dewasa Muda,Student,91,1,145.5,2024-11-04 08:11:32,1
331.65,Debit,Portland,Online,Dewasa,Engineer,61,1,4172.57,2024-11-04 08:11:00,2
5.04,Debit,Washington,ATM,Lansia Muda,Retired,41,1,5558.36,2024-11-04 08:10:48,2
214.54,Credit,Detroit,Online,Lansia,Doctor,247,1,11151.53,2024-11-04 08:11:56,0
598.81,Debit,Philadelphia,Branch,Lansia Muda,Doctor,158,1,1415.52,2024-11-04 08:10:13,1
841.28,Debit,Tucson,Online,Dewasa Muda,Student,80,1,1103.64,2024-11-04 08:09:58,1
38.15,Debit,Mesa,Online,Dewasa Muda,Student,108,1,303.68,2024-11-04 08:07:42,1
1036.66,Debit,San Antonio,Branch,Lansia Muda,Doctor,144,1,5541.57,2024-11-04 08:09:24,2
124.72,Debit,Oklahoma City,Branch,Dewasa,Engineer,105,1,6309.8,2024-11-04 08:07:25,2
302.45,Credit,San Antonio,Branch,Lansia,Retired,40,1,5133.61,2024-11-04 08:11:55,2
208.04,Debit,Louisville,Online,Dewasa,Engineer,273,1,9344.98,2024-11-04 08:08:45,0
5.77,Credit,Los Angeles,Branch,Dewasa Muda,Student,254,1,1117.97,2024-11-04 08:10:53,1
381.33,Debit,Albuquerque,ATM,Lansia Muda,Doctor,75,1,11835.35,2024-11-04 08:09:32,0
16.16,Debit,Milwaukee,ATM,Lansia Muda,Doctor,124,1,14401.17,2024-11-04 08:11:59,0
486.08,Debit,Oklahoma City,Online,Dewasa Muda,Student,68,1,1748.69,2024-11-04 08:07:03,1
336.39,Debit,San Antonio,Branch,Dewasa Muda,Student,18,1,1000.46,2024-11-04 08:09:57,1
997.43,Debit,Seattle,Online,Lansia,Doctor,118,1,6810.05,2024-11-04 08:08:25,2
234.57,Debit,Chicago,Online,Dewasa Muda,Student,120,1,263.98,2024-11-04 08:08:47,1
6.0,Debit,Chicago,Online,Dewasa,Doctor,246,1,5442.76,2024-11-04 08:09:43,2
1049.92,Debit,Detroit,ATM,Lansia,Retired,21,1,2037.85,2024-11-04 08:10:34,1
227.14,Debit,Charlotte,ATM,Dewasa Muda,Student,294,1,341.94,2024-11-04 08:11:34,1
233.74,Credit,Oklahoma City,Online,Lansia,Retired,17,1,1066.59,2024-11-04 08:11:17,1
113.02,Credit,Jacksonville,Branch,Lansia,Retired,166,1,6077.96,2024-11-04 08:07:21,2
45.85,Debit,Los Angeles,ATM,Dewasa Muda,Student,92,1,1659.15,2024-11-04 08:07:24,1
973.39,Debit,Sacramento,Branch,Lansia,Retired,296,1,2042.22,2024-11-04 08:11:44,1
514.95,Debit,New York,Online,Dewasa,Doctor,142,5,421.93,2024-11-04 08:10:01,1
415.5,Debit,Memphis,ATM,Lansia,Doctor,141,1,10113.66,2024-11-04 08:10:23,0
265.76,Debit,Philadelphia,Online,Lansia Muda,Retired,92,1,4446.17,2024-11-04 08:12:18,2
69.4,Debit,Virginia Beach,Online,Lansia,Retired,113,1,6452.77,2024-11-04 08:09:04,2
332.93,Credit,Albuquerque,Branch,Dewasa,Engineer,293,1,2788.2,2024-11-04 08:08:14,1
267.9,Debit,San Antonio,Online,Dewasa Muda,Student,160,1,596.16,2024-11-04 08:08:34,1
496.03,Debit,San Francisco,Branch,Lansia Muda,Doctor,265,1,12904.66,2024-11-04 08:09:41,0
376.26,Debit,Tucson,ATM,Dewasa,Engineer,245,1,9062.4,2024-11-04 08:09:58,2
83.02,Credit,Seattle,Online,Dewasa,Engineer,171,1,9009.56,2024-11-04 08:11:01,2
93.26,Credit,New York,Online,Dewasa Muda,Student,72,1,1152.2,2024-11-04 08:12:04,1
803.37,Credit,Memphis,Branch,Lansia,Doctor,129,1,12168.37,2024-11-04 08:08:40,0
35.76,Debit,Charlotte,Branch,Dewasa Muda,Student,122,1,611.86,2024-11-04 08:11:40,1
28.53,Debit,Washington,Online,Lansia Muda,Doctor,99,1,8670.53,2024-11-04 08:06:30,2
139.53,Credit,Louisville,Online,Lansia Muda,Doctor,177,1,10098.86,2024-11-04 08:07:31,0
307.57,Debit,Detroit,Branch,Dewasa,Doctor,285,1,5307.74,2024-11-04 08:06:33,2
60.65,Credit,Tucson,Branch,Lansia Muda,Retired,53,1,1047.28,2024-11-04 08:09:22,1
74.86,Debit,Nashville,Branch,Lansia,Doctor,125,1,6921.48,2024-11-04 08:07:39,2
117.97,Debit,Kansas City,Branch,Lansia Muda,Retired,137,1,1475.46,2024-11-04 08:09:21,1
231.91,Debit,Memphis,ATM,Dewasa,Engineer,165,1,112.76,2024-11-04 08:12:15,1
126.21,Debit,Baltimore,Branch,Lansia,Retired,268,1,5669.66,2024-11-04 08:08:42,2
506.28,Credit,Chicago,Online,Lansia Muda,Retired,162,2,1309.95,2024-11-04 08:09:09,1
304.35,Debit,Houston,Branch,Dewasa,Engineer,36,1,4057.1,2024-11-04 08:08:45,1
281.85,Debit,Detroit,ATM,Dewasa Muda,Student,109,1,1585.98,2024-11-04 08:07:38,1
777.88,Debit,Houston,Branch,Dewasa,Engineer,17,1,6825.55,2024-11-04 08:09:15,2
119.18,Debit,Los Angeles,Branch,Lansia Muda,Retired,96,1,5516.5,2024-11-04 08:07:34,2
177.19,Debit,Chicago,Online,Lansia,Retired,43,1,5343.3,2024-11-04 08:06:30,2
260.88,Debit,Denver,Branch,Dewasa Muda,Student,36,1,903.05,2024-11-04 08:06:52,1
169.47,Debit,Chicago,Online,Dewasa Muda,Student,19,1,1806.16,2024-11-04 08:07:37,1
73.23,Debit,Portland,Branch,Dewasa Muda,Student,14,1,787.74,2024-11-04 08:11:12,1
1362.55,Debit,El Paso,ATM,Dewasa Muda,Engineer,106,1,2429.68,2024-11-04 08:11:05,1
792.57,Debit,Baltimore,ATM,Dewasa Muda,Student,164,1,770.37,2024-11-04 08:10:39,1
237.06,Debit,Phoenix,Online,Lansia,Retired,46,1,1182.77,2024-11-04 08:07:50,1
34.17,Credit,Philadelphia,Online,Lansia Muda,Engineer,54,1,726.55,2024-11-04 08:06:29,1
740.25,Debit,Philadelphia,Online,Dewasa,Doctor,123,1,14464.3,2024-11-04 08:08:27,0
453.54,Debit,Albuquerque,ATM,Lansia Muda,Doctor,82,1,12046.3,2024-11-04 08:12:06,0
300.47,Debit,Jacksonville,Branch,Lansia,Retired,100,1,7885.64,2024-11-04 08:08:00,2
110.93,Credit,Virginia Beach,Branch,Dewasa Muda,Student,201,1,1952.35,2024-11-04 08:10:53,1
201.69,Debit,Las Vegas,ATM,Lansia Muda,Doctor,299,1,7328.52,2024-11-04 08:10:16,2
399.21,Debit,Portland,ATM,Lansia Muda,Engineer,109,1,3210.39,2024-11-04 08:08:21,1
1041.88,Debit,Jacksonville,Online,Lansia,Retired,57,1,5726.2,2024-11-04 08:06:44,2
630.36,Debit,Mesa,ATM,Lansia Muda,Retired,52,1,1363.65,2024-11-04 08:12:15,1
10.94,Credit,Philadelphia,ATM,Lansia Muda,Engineer,245,1,1241.99,2024-11-04 08:11:53,1
215.9,Debit,Los Angeles,ATM,Dewasa,Doctor,235,1,7873.28,2024-11-04 08:10:23,2
1422.55,Debit,Washington,Branch,Lansia,Retired,165,1,5674.32,2024-11-04 08:06:50,2
226.37,Credit,Louisville,Branch,Dewasa,Doctor,141,1,9840.04,2024-11-04 08:09:56,0
444.89,Credit,Las Vegas,Branch,Dewasa,Doctor,101,1,10328.23,2024-11-04 08:11:50,0
280.57,Credit,Virginia Beach,Online,Dewasa Muda,Student,24,1,293.24,2024-11-04 08:10:24,1
488.54,Debit,Jacksonville,Branch,Lansia Muda,Engineer,132,1,7486.63,2024-11-04 08:07:26,2
3.3,Credit,Los Angeles,Branch,Lansia Muda,Doctor,131,1,11385.37,2024-11-04 08:10:11,0
199.39,Debit,Colorado Springs,Branch,Lansia,Retired,165,1,7264.79,2024-11-04 08:09:06,2
20.36,Debit,Tucson,Branch,Lansia Muda,Retired,75,1,2762.48,2024-11-04 08:11:15,1
113.64,Debit,Detroit,Online,Lansia Muda,Retired,32,1,6675.03,2024-11-04 08:07:55,2
493.11,Debit,Colorado Springs,Branch,Lansia Muda,Retired,236,1,7432.99,2024-11-04 08:08:01,2
307.41,Debit,Los Angeles,ATM,Dewasa Muda,Student,14,1,1057.0,2024-11-04 08:09:48,1
11.18,Debit,Atlanta,Online,Dewasa,Doctor,161,1,5956.89,2024-11-04 08:10:20,2
313.82,Debit,Tucson,Branch,Lansia Muda,Engineer,151,1,7261.59,2024-11-04 08:08:42,2
51.0,Debit,Seattle,Branch,Lansia Muda,Retired,107,1,4943.16,2024-11-04 08:08:23,2
140.98,Debit,Memphis,Branch,Lansia Muda,Engineer,100,1,8127.48,2024-11-04 08:12:13,2
288.04,Debit,Denver,ATM,Lansia,Retired,63,1,1748.02,2024-11-04 08:10:00,1
800.55,Debit,Oklahoma City,ATM,Dewasa,Engineer,108,1,9660.22,2024-11-04 08:06:49,0
485.54,Debit,Houston,ATM,Dewasa,Engineer,143,1,6371.51,2024-11-04 08:11:46,2
521.15,Debit,Kansas City,ATM,Lansia Muda,Doctor,214,1,9442.47,2024-11-04 08:07:31,0
321.79,Credit,Raleigh,ATM,Lansia Muda,Retired,61,1,5959.2,2024-11-04 08:10:01,2
304.93,Debit,Portland,ATM,Lansia,Doctor,158,1,13531.22,2024-11-04 08:08:15,0
432.08,Debit,El Paso,ATM,Dewasa,Doctor,145,1,11500.62,2024-11-04 08:11:46,0
694.2,Debit,Milwaukee,ATM,Lansia Muda,Retired,72,1,1389.37,2024-11-04 08:07:23,1
116.86,Debit,Louisville,ATM,Lansia Muda,Engineer,171,1,6706.56,2024-11-04 08:12:15,2
386.81,Credit,Detroit,Online,Lansia Muda,Doctor,149,1,7175.29,2024-11-04 08:10:50,2
74.88,Debit,Atlanta,ATM,Dewasa Muda,Student,202,1,420.67,2024-11-04 08:07:46,1
195.76,Debit,Philadelphia,Branch,Lansia,Retired,99,1,7323.53,2024-11-04 08:09:48,2
134.7,Debit,Fort Worth,ATM,Lansia Muda,Doctor,106,1,8395.85,2024-11-04 08:11:07,2
890.24,Credit,Las Vegas,Online,Dewasa,Engineer,161,1,5140.93,2024-11-04 08:07:32,2
361.27,Debit,Omaha,ATM,Lansia Muda,Doctor,180,1,7945.57,2024-11-04 08:10:07,2
131.56,Debit,Charlotte,Branch,Dewasa,Doctor,42,1,5873.54,2024-11-04 08:07:12,2
485.51,Credit,Milwaukee,Online,Lansia,Retired,37,1,3074.45,2024-11-04 08:08:02,1
547.87,Debit,Columbus,ATM,Lansia Muda,Retired,131,1,6155.76,2024-11-04 08:10:31,2
457.3,Debit,Virginia Beach,Online,Dewasa Muda,Engineer,15,1,8318.29,2024-11-04 08:07:53,2
506.24,Debit,Chicago,ATM,Lansia Muda,Engineer,64,1,230.09,2024-11-04 08:11:40,1
486.59,Debit,Indianapolis,Branch,Lansia Muda,Retired,119,1,2513.56,2024-11-04 08:10:02,1
163.68,Debit,San Diego,Branch,Dewasa,Doctor,292,1,10090.05,2024-11-04 08:11:01,0
581.65,Debit,Boston,ATM,Dewasa Muda,Student,176,1,480.19,2024-11-04 08:09:39,1
52.01,Debit,Mesa,ATM,Dewasa,Doctor,85,1,1120.88,2024-11-04 08:11:27,1
630.24,Debit,Boston,ATM,Dewasa Muda,Student,62,1,370.81,2024-11-04 08:11:52,1
523.74,Debit,Oklahoma City,ATM,Dewasa,Doctor,159,1,13498.55,2024-11-04 08:06:52,0
705.6,Debit,Phoenix,Branch,Dewasa,Doctor,124,3,14804.7,2024-11-04 08:09:04,0
217.5,Credit,Denver,Branch,Dewasa,Engineer,35,1,3057.4,2024-11-04 08:06:58,1
91.48,Debit,Fort Worth,ATM,Lansia Muda,Doctor,141,1,14942.78,2024-11-04 08:09:17,0
5.25,Debit,San Jose,ATM,Dewasa,Doctor,49,1,14143.32,2024-11-04 08:12:22,0
54.03,Credit,Milwaukee,ATM,Lansia Muda,Retired,161,1,6736.3,2024-11-04 08:07:36,2
736.73,Debit,Memphis,Branch,Dewasa,Engineer,10,1,3313.07,2024-11-04 08:10:54,1
368.91,Debit,Virginia Beach,Branch,Lansia Muda,Doctor,14,1,829.71,2024-11-04 08:10:28,1
33.06,Credit,Fort Worth,Online,Lansia Muda,Retired,170,1,1540.87,2024-11-04 08:06:43,1
66.5,Credit,Louisville,Online,Dewasa,Engineer,144,1,6820.23,2024-11-04 08:08:06,2
177.08,Debit,Las Vegas,Online,Dewasa,Doctor,85,1,13475.14,2024-11-04 08:12:21,0
588.54,Debit,Portland,Branch,Dewasa,Engineer,130,1,714.45,2024-11-04 08:10:37,1
173.5,Debit,Nashville,ATM,Dewasa Muda,Student,282,1,1306.91,2024-11-04 08:11:52,1
78.33,Credit,Memphis,Online,Lansia Muda,Engineer,189,1,7255.33,2024-11-04 08:08:18,2
40.66,Debit,Louisville,Branch,Lansia Muda,Retired,156,1,1153.84,2024-11-04 08:11:28,1
97.22,Credit,Atlanta,Branch,Lansia,Retired,55,1,6647.73,2024-11-04 08:11:17,2
34.07,Debit,Philadelphia,Branch,Dewasa Muda,Student,81,1,8709.77,2024-11-04 08:07:21,2
492.06,Debit,Fresno,Online,Dewasa Muda,Student,74,1,857.9,2024-11-04 08:09:56,1
842.01,Credit,Virginia Beach,Online,Lansia Muda,Doctor,185,1,509.45,2024-11-04 08:08:33,1
73.55,Debit,Atlanta,ATM,Lansia Muda,Engineer,158,1,2812.06,2024-11-04 08:11:21,1
760.53,Debit,Phoenix,Online,Lansia Muda,Engineer,118,1,6179.91,2024-11-04 08:09:35,2
273.08,Credit,Houston,Branch,Dewasa Muda,Engineer,134,1,6609.3,2024-11-04 08:07:57,2
371.69,Debit,San Francisco,Branch,Lansia,Retired,143,1,3484.32,2024-11-04 08:09:59,1
218.96,Debit,Seattle,ATM,Dewasa Muda,Student,13,1,754.21,2024-11-04 08:10:35,1
227.39,Debit,Atlanta,Online,Dewasa Muda,Student,65,1,751.09,2024-11-04 08:11:36,1
237.99,Credit,Kansas City,Branch,Dewasa,Doctor,86,1,8510.09,2024-11-04 08:11:36,2
186.6,Debit,Washington,Online,Lansia Muda,Doctor,13,1,1508.72,2024-11-04 08:06:24,1
341.15,Debit,San Jose,Online,Dewasa Muda,Student,148,1,511.37,2024-11-04 08:10:09,1
434.58,Debit,Memphis,ATM,Lansia Muda,Doctor,215,1,12648.32,2024-11-04 08:08:15,0
312.88,Credit,Portland,Branch,Lansia Muda,Engineer,44,1,233.21,2024-11-04 08:07:23,1
75.15,Debit,Boston,ATM,Dewasa Muda,Student,154,1,1092.92,2024-11-04 08:11:00,1
23.3,Debit,Los Angeles,ATM,Lansia Muda,Engineer,161,1,6711.15,2024-11-04 08:08:06,2
